doi,title,authors,journal,year,volume,issue,pages,area,method,chem,data,valid,finding,limit,cites
10.1039/d2dd00067a,,"Rieger, L. H.; Flores, E.; Nielsen, K. F.; Norby, P.; Ayerbe, E.; Winther, O.; et al.",Digital Discovery,2023,2,1,,Cross-cutting,Shallow ML,NMC,Severson-MATR,cross-cell holdout,uncertainty-aware explainable models give calibrated early battery-life predictions,uncertainty calibration degrades off-distribution,35
10.1016/j.ensm.2023.02.035,,"Zhang, Y.; Zhao, M.",Energy Storage Materials,2023,57,,,Cross-cutting,Deep learning,NMC,Severson-MATR,cross-cell holdout,cloud-based in-situ life prediction and classification at fleet scale using streaming charge data,cloud connectivity and data volume assumptions,115
10.1016/j.eswa.2023.120444,,"Eaty, N. D. K. M.; Bagade, P.",Expert Systems with Applications,2023,229,,,Cross-cutting,Deep learning,NMC,real-vehicle,online/real-vehicle,digital twin with incremental learning tracks individual battery aging in an EV BMS,twin drift management needs continuous data,64
10.1016/j.est.2022.106295,,"Faraji-Niri, M.; Rashid, M.; Sansom, J.; Sheikh, M.; Widanage, D.; Marco, J.",Journal of Energy Storage,2023,58,,,Cross-cutting,Shallow ML,LFP,EIS-lab,cross-cell holdout,EIS-based accelerated SOH estimation suited to second-life battery triage,second-life heterogeneity challenges labels,104
10.1016/j.est.2023.107203,,"Yi, Y.; Xia, C.; Feng, C.; Zhang, W.; Fu, C.; Qian, L.; et al.",Journal of Energy Storage,2023,64,,,Cross-cutting,Hybrid physics+ML,NMC,self-lab,experimental hardware,couples an LSTM surrogate with real-time thermal observation in a digital-twin architecture for battery thermal monitoring,twin fidelity bounded by surrogate training envelope,75
10.1016/j.ress.2022.109046,,"Wang, F.; Zhao, Z.; Zhai, Z.; Shang, Z.; Yan, R.; Chen, X.",Reliability Engineering & System Safety,2023,232,,,Cross-cutting,Shallow ML,NMC,CALCE,within-cell split,SHAP-based explainability guides feature selection and improves SOH estimator robustness,explanations bounded by feature space,133
10.1016/j.rser.2023.113807,,"Lin, Y. H.; Ruan, S. J.; Chen, Y. X.; Li, Y. F.",Renewable and Sustainable Energy Reviews,2023,188,,,Cross-cutting,Physics-informed,various,review,review synthesis,reviews physics-informed deep learning for EIS-based battery diagnostics and outlines implementation paths,mostly laboratory-level evidence,51
10.3390/batteries10070220,,"Rahman, T.; Alharbi, T.",Batteries,2024,10,7,,Cross-cutting,Review / perspective,various,review,review synthesis,concise review of degradation drivers and data-driven degradation estimation techniques,"broad scope, shallow per-method detail",190
10.3390/batteries10120442,,"Tao, J.; Wang, S.; Cao, W.; Fernandez, C.; Blaabjerg, F.",Batteries,2024,10,12,,Cross-cutting,Physics-informed,various,review,review synthesis,reviews physical and data-driven model fusion for internal-state estimation of batteries,fusion taxonomies still immature,54
10.1016/j.est.2024.113502,,"Zhou, K. Q.; Qin, Y.; Yuen, C.",Journal of Energy Storage,2024,100,,,Cross-cutting,Graph neural network,mixed,Severson-MATR,cross-cell holdout,GNN over partial discharge curves estimates SOH with improved cross-cell generalization,graph construction adds preprocessing cost,57
10.1002/aenm.202503067,,"Wang, T.; Liu, K.; Peng, H.; Liu, X.",Advanced Energy Materials,2025,15,48,,Cross-cutting,Review / perspective,various,review,review synthesis,retrospective and prospective of interpretable ML for battery prognosis,"perspective, not new experiments",19
10.1109/tte.2025.3533540,,"Lin, M.; Hu, D.; Meng, J.; Wu, J.",IEEE Transactions on Transportation Electrification,2025,11,3,,Cross-cutting,Transfer learning,mixed,EIS-lab,cross-chemistry holdout,transfer learning across chemistries enables EIS-based SOH estimation with limited target-domain data,needs shared measurement protocol,34
10.1016/j.ensm.2026.104983,,"Cai, S.; Chen, J.; Hu, J.; Huang, R.; Liao, J.; Wei, M.; et al.",Energy Storage Materials,2026,86,,,Cross-cutting,Foundation model / LLM,various,real-vehicle,online/real-vehicle,domain-knowledge-enhanced LLM orchestrates vehicle-cloud collaborative battery management,early-stage; latency and cost unquantified,2
10.1016/j.est.2026.123023,,"Chen, J.; Yao, Q.; Kollmeyer, P.; Vidal, C.; Naguib, M.; Panchal, S.; et al.",Journal of Energy Storage,2026,175,,,Cross-cutting,Hybrid physics+ML,NMC,self-lab,cross-cell holdout,ML battery model with numerical search estimates usable state-of-power in real time,search adds compute at inference,3
10.1016/j.measurement.2025.118985,,"He, L.; Tian, A.; Ding, T.; Dong, K.; Wang, Y.; Gao, Y.; et al.",Measurement,2026,257,,,Cross-cutting,Physics-informed,NMC,self-lab,cross-cell holdout,adaptive physics-informed network of electrochemical-mechanical coupling improves joint state estimation,model complexity challenges onboard use,15
10.1016/j.ress.2026.112416,,"Liang, J.; Meng, H.; Mu, Y.",Reliability Engineering & System Safety,2026,274,,,Cross-cutting,Foundation model / LLM,various,real-vehicle,case study,domain-specific LLM performs risk analysis of battery energy storage incidents from heterogeneous reports,hallucination risk needs guardrails,6
10.3390/electronics10111309,,"Samanta, A.; Chowdhuri, S.; Williamson, S. S.",Electronics,2021,10,11,,Fault & safety,Review / perspective,various,review,review synthesis,critical review of ML-based fault detection and diagnosis for lithium-ion batteries,few works had real-vehicle validation,229
10.1016/j.energy.2020.118866,,"Yao, L.; Fang, Z.; Xiao, Y.; Hou, J.; Fu, Z.",Energy,2021,214,,,Fault & safety,Shallow ML,NMC,self-lab,experimental hardware,grid-search-optimized SVM diagnoses sensor and connection faults in battery systems,feature engineering is manual,315
10.1016/j.est.2023.107575,,"Zhang, C.; Zhao, S.; Yang, Z.; He, Y.",Journal of Energy Storage,2023,67,,,Fault & safety,Shallow ML,LFP,real-vehicle,online/real-vehicle,curvilinear Manhattan distance over charge curves detects multiple pack fault types in operating fleets,thresholds tuned per fleet,154
10.1016/j.etran.2023.100254,,"Yu, Q.; Wang, C.; Li, J.; Xiong, R.; Pecht, M.",eTransportation,2023,17,,,Fault & safety,Review / perspective,various,review,review synthesis,maps the gap between laboratory fault diagnosis and real-vehicle deployment requirements,outlook-oriented,245
10.1016/j.apenergy.2024.123248,,"Dong, C.; Sun, D.",Applied Energy,2024,365,,,Fault & safety,Transfer learning,LFP,real-vehicle,cross-domain holdout,multi-source domain transfer with small-sample learning transfers thermal-runaway diagnosis across vehicle fleets,domain shift quantification incomplete,33
10.1016/j.jpowsour.2024.235015,,"Das Goswami, B. R.; Abdisobbouhi, Y.; Du, H.; Mashayek, F.; Kingston, T. A.; Yurkiv, V.",Journal of Power Sources,2024,614,,,Fault & safety,Hybrid physics+ML,NMC,simulation,simulation plus hardware spot-check,multiphysics models coupled with ML predict module-level thermal runaway progression,module geometry-specific,65
10.1016/j.etran.2024.100337,,"Jeong, J.; Kwak, E.; Kim, J. h.; Oh, K. Y.",eTransportation,2024,21,,,Fault & safety,Physics-informed,NMC,simulation,cross-validation,multiphysics-informed DeepONet predicts thermal runaway with virtual data augmenting scarce experiments,operator-training data generation cost,58
10.1016/j.jechem.2025.04.025,,"Huang, Y.; Cai, H.; Lai, X.; Zheng, Y.; Han, X.; Ren, D.; et al.",Journal of Energy Chemistry,2025,108,,,Fault & safety,Deep learning,NMC,self-lab,cross-cell holdout,force-signal deep learning detects lithium-plating-type defects during manufacturing,production-line instrumentation required,14
10.1016/j.etran.2025.100418,,"Jia, Z.; Wang, Z.; Sun, Z.; Sun, X.; Liu, P.; Ruzzenenti, F.",eTransportation,2025,24,,,Fault & safety,Deep learning,mixed,real-vehicle,online/real-vehicle,multi-scenario data-driven anomaly detection covers real EV battery operating envelopes,label scarcity for rare faults,18
10.1016/j.energy.2019.116467,,"Li, X.; Yuan, C.; Li, X.; Wang, Z.",Energy,2020,190,,,Health estimation (SOH),Shallow ML,NMC,CALCE,within-cell split,incremental-capacity features with Gaussian process regression estimate SOH with confidence intervals,ICA features sensitive to measurement noise,436
10.1016/j.jpowsour.2019.227281,,"Tagade, P.; Hariharan, K. S.; Ramachandran, S.; Khandelwal, A.; Naha, A.; Kolake, S. M.; et al.",Journal of Power Sources,2020,445,,,Health estimation (SOH),Shallow ML,NMC,CALCE,within-cell split,deep Gaussian process regression couples SOH prognosis with degradation-mode identification,deep GP training cost; small datasets,195
10.1016/j.apenergy.2021.117346,,"Sui, X.; He, S.; Vilsen, S. B.; Meng, J.; Teodorescu, R.; Stroe, D. I.",Applied Energy,2021,300,,,Health estimation (SOH),Review / perspective,various,review,review synthesis,reviews non-probabilistic ML techniques for SOH estimation and their feature strategies,pre-transformer literature,366
10.1109/tte.2020.3028784,,"Wang, Z.; Yuan, C.; Li, X.",IEEE Transactions on Transportation Electrification,2021,7,1,,Health estimation (SOH),Shallow ML,LFP,EIS-lab,cross-cell holdout,differential thermal voltammetry features with Gaussian process regression give accurate SOH with uncertainty,requires temperature-resolved instrumentation,187
10.1038/s42256-021-00312-3,,"Roman, D.; Saxena, S.; Robu, V.; Pecht, M.; Flynn, D.",Nature Machine Intelligence,2021,3,5,,Health estimation (SOH),Shallow ML,mixed,self-lab,cross-cell holdout,end-to-end ML pipeline estimates SOH across 179 commercial cells using relaxed charge-curve features,same-lab cells; fleet variability untested,613
10.1109/tpel.2021.3134701,,"Deng, Z.; Hu, X.; Li, P.; Lin, X.; Bian, X.",IEEE Transactions on Power Electronics,2022,37,5,,Health estimation (SOH),Shallow ML,NMC,self-lab,cross-cell holdout,"random partial charging data suffice for accurate SOH estimation, relaxing full-curve requirements",feature stability across rest periods,353
10.1109/tpel.2021.3117788,,"Ye, Z.; Yu, J.",IEEE Transactions on Power Electronics,2022,37,3,,Health estimation (SOH),Transfer learning,NMC,self-lab,cross-domain holdout,domain-adversarial transfer learning adapts SOH estimators across operating conditions without target labels,adversarial training instability,141
10.1016/j.energy.2023.127033,,"Yao, J.; Han, T.",Energy,2023,271,,,Health estimation (SOH),Transfer learning,mixed,Severson-MATR,cross-chemistry holdout,deep transfer learning with partial charging curves estimates capacity across cell types,negative transfer cases not fully resolved,205
10.1016/j.energy.2023.126855,,"Tian, J.; Liu, X.; Li, S.; Wei, Z.; Zhang, X.; Xiao, G.; et al.",Energy,2023,270,,,Health estimation (SOH),Deep learning,mixed,real-vehicle,online/real-vehicle,real-world EV data with deep models closes the lab-to-field gap for health estimation,ground-truth health labels noisy,150
10.1038/s41467-023-38458-w,,"Lu, J.; Xiong, R.; Tian, J.; Wang, C.; Sun, F.",Nature Communications,2023,14,1,,Health estimation (SOH),Deep learning,mixed,Severson-MATR,cross-chemistry holdout,deep learning estimates SOH without additional degradation experiments by learning universal trajectory features,needs representative early-cycle training fleet,355
10.1016/j.ress.2022.108947,,"Wei, Y.; Wu, D.",Reliability Engineering & System Safety,2023,230,,,Health estimation (SOH),Deep learning,NMC,NASA,within-cell split,graph convolutional network fuses multiple health indicators for joint SOH and RUL prediction,NASA data scale limits claims,157
10.1016/j.apenergy.2024.124077,,"Zheng, K.; Meng, J.; Yang, Z.; Zhou, F.; Yang, K.; Song, Z.",Applied Energy,2024,375,,,Health estimation (SOH),Shallow ML,LFP,real-vehicle,online/real-vehicle,charging-segment adjustment refines SOH features for vehicle-level accuracy,segment choice affects robustness,58
10.1016/j.energy.2024.133418,,"Li, Z.; Zhang, X.; Gao, W.",Energy,2024,311,,,Health estimation (SOH),Deep learning,NMC,self-lab,experimental hardware,BiLSTM-Transformer tracks SOH specifically under fast-charging duty with higher accuracy than baselines,fast-charge aging data expensive,89
10.1016/j.geits.2024.100169,,"Qiang, X.; Liu, W.; Lyu, Z.; Ruan, H.; Li, X.",Green Energy and Intelligent Transportation,2024,3,5,,Health estimation (SOH),Hybrid physics+ML,LFP,real-vehicle,online/real-vehicle,data-fusion model over partial charging curves estimates pack-level SOH from fleet streams,pack heterogeneity complicates labels,50
10.1016/j.apenergy.2024.125086,,"Cao, Z.; Gao, W.; Fu, Y.; Kurdkandi, N. V.; Mi, C.",Applied Energy,2025,381,,,Health estimation (SOH),Shallow ML,mixed,self-lab,cross-domain holdout,framework transfers laboratory-trained SOH models to fleets with quantified domain gaps,requires shared feature definitions,41
10.1016/j.jpowsour.2025.236784,,"Sun, R.; Chen, J.; Piao, C.",Journal of Power Sources,2025,645,,,Health estimation (SOH),Shallow ML,LFP,real-vehicle,online/real-vehicle,real-time online vehicle-data feature extraction supports continuous SOH estimation,onboard compute budget constrains features,23
10.1038/s41598-025-30602-4,,"Salem, N. M.; Mohamed, A.",Scientific Reports,2025,15,1,,Health estimation (SOH),Physics-informed,NMC,CALCE,within-cell split,physics-informed hybrid reinforcement learning estimates SOH with reduced data demand,reward shaping is case-specific,21
10.1016/j.isci.2025.112235,,"Zhao, J.; Li, D.; Li, Y.; Shi, D.; Nan, J.; Burke, A. F.",iScience,2025,28,5,,Health estimation (SOH),Transfer learning,mixed,Severson-MATR,cross-chemistry holdout,deep transfer learning delivers SOH estimates under fast-charging protocols across chemistries,protocol-specific fine-tuning needed,44
10.1016/j.energy.2025.139753,,"Gao, K.; Li, Q.; Hu, L.; Huang, J.; Li, H.; Wu, Y.",Energy,2026,342,,,Health estimation (SOH),Physics-informed,NMC,EIS-lab,cross-cell holdout,EIS-informed physics-constrained network estimates SOH with small datasets,EIS acquisition onboard remains open,14
10.1016/j.jechem.2025.08.093,,"Wang, S.; Zhou, R.; Ren, Y.; Liu, H.; Lin, Y.; Lian, C.",Journal of Energy Chemistry,2026,112,,,Health estimation (SOH),Physics-informed,mixed,Severson-MATR,cross-chemistry holdout,generalizable PINN uses limited early-cycle data for cross-cell SOH estimation,physics prior must match chemistry,28
10.1038/s41560-019-0356-8,,"Severson, K. A.; Attia, P. M.; Jin, N.; Perkins, N.; Jiang, B.; Yang, Z.; et al.",Nature Energy,2019,4,5,,Prognostics (RUL),Shallow ML,LFP,Severson-MATR,cross-cell holdout,"early-cycle features predict full cycle life with about 9% median test error, catalyzing data-driven battery prognostics",single chemistry and cycling protocol,3002
10.1016/j.joule.2019.11.018,,"Hu, X.; Xu, L.; Lin, X.; Pecht, M.",Joule,2020,4,2,,Prognostics (RUL),Review / perspective,various,review,review synthesis,"authoritative review structuring battery lifetime prognostics across mechanisms, models and data",pre-dates transformer-era methods,1239
10.1016/j.apenergy.2021.116897,,"Yang, Y.",Applied Energy,2021,292,,,Prognostics (RUL),Shallow ML,mixed,Severson-MATR,cross-cell holdout,charge-process features enable early life prediction across diverse duty cycles,feature engineering manual,240
10.1016/j.energy.2021.120205,,"Fei, Z.; Yang, F.; Tsui, K. L.; Li, L.; Zhang, Z.",Energy,2021,225,,,Prognostics (RUL),Shallow ML,NMC,self-lab,cross-cell holdout,ML framework predicts battery lifetime early from limited formation-style test data,small fleet generalization,278
10.1016/j.jclepro.2021.128265,,"Tong, Z.; Miao, J.; Tong, S.; Lu, Y.",Journal of Cleaner Production,2021,317,,,Prognostics (RUL),Hybrid physics+ML,NMC,NASA,within-cell split,hybrid ML framework gives early RUL prediction combining physics features with learned residuals,NASA-era data only,155
10.1016/j.est.2022.104901,,"Zhao, S.; Zhang, C.; Wang, Y.",Journal of Energy Storage,2022,52,,,Prognostics (RUL),Deep learning,LFP,self-lab,experimental hardware,board-level learning system predicts capacity and RUL onboard in real time,embedded memory/compute bounds model size,247
10.1016/j.ymssp.2022.109347,,"Shi, J.; Rivera, A.; Wu, D.",Mechanical Systems and Signal Processing,2022,179,,,Prognostics (RUL),Physics-informed,NMC,self-lab,cross-cell holdout,physics-informed online degradation modeling supports proactive battery health management,physics model parameter drift,152
10.1016/j.jechem.2023.03.026,,"Li, X.; Yu, D.; Søren Byg, V.; Daniel Ioan, S.",Journal of Energy Chemistry,2023,82,,,Prognostics (RUL),Review / perspective,various,review,review synthesis,reviews development of ML-based RUL prediction and lifetime-extension strategies,rapidly aging literature,223
10.1002/advs.202402608,,"Si, Q.; Matsuda, S.; Yamaji, Y.; Momma, T.; Tateyama, Y.",Advanced Science,2024,11,33,,Prognostics (RUL),Shallow ML,Li-metal,self-lab,cross-cell holdout,discharge-voltage features drive cycle-life prediction for lithium-metal cells,chemistry-specific features,17
10.1016/j.apenergy.2025.125314,,"Deng, W.; Le, H.; Nguyen, K. T.; Gogu, C.; Medjaher, K.; Morio, J.; et al.",Applied Energy,2025,384,,,Prognostics (RUL),Physics-informed,mixed,Severson-MATR,cross-chemistry holdout,generic physics-informed framework predicts RUL from small early-cycle lifecycle data,prior selection affects transfer,54
10.1016/j.apenergy.2024.124713,,"Zhao, B.; Zhang, W.; Zhang, Y.; Zhang, C.; Zhang, C.; Zhang, J.",Applied Energy,2025,379,,,Prognostics (RUL),Deep learning,NMC,NASA,within-cell split,interpretable deep learning with network-parameter optimization improves RUL accuracy and transparency,interpretability post-hoc,51
10.1016/j.energy.2025.136618,,"Zhao, J.; Qu, X.; Li, Y.; Nan, J.; Burke, A. F.",Energy,2025,328,,,Prognostics (RUL),Deep learning,NMC,NASA,within-cell split,hybrid-fusion deep networks enable real-time RUL prediction streams,fusion weights dataset-sensitive,24
10.1016/j.est.2025.118415,,"Qi, Y.; Wang, J.; Lu, H.; Chu, H.; Chen, D.; Jin, J.",Journal of Energy Storage,2025,136,,,Prognostics (RUL),Hybrid physics+ML,LFP,mixed,cross-validation,hybrid ML with multiple feature families lifts RUL accuracy across datasets,feature redundancy,12
10.1016/j.ress.2025.111392,,"Du, M.; Zhang, Y.; Miao, Q.",Reliability Engineering & System Safety,2025,264,,,Prognostics (RUL),Reinforcement learning,NMC,NASA,within-cell split,deep reinforcement learning fusion adaptively selects prognostic models along aging trajectories,RL training instability on small data,21
10.1038/s41598-025-92262-8,,"Fan, Y.; Lin, Z.; Wang, F.; Zhang, J.",Scientific Reports,2025,15,1,,Prognostics (RUL),Hybrid physics+ML,NMC,CALCE,within-cell split,signal decomposition with hybrid ML sharpens RUL prediction on noisy capacity series,decomposition adds latency,37
10.1016/j.energy.2020.117664,,"Yang, F.; Zhang, S.; Li, W.; Miao, Q.",Energy,2020,201,,,State estimation (SOC),Filter-based hybrid,NMC,self-lab,experimental hardware,LSTM network embedded in unscented Kalman filter improves SOC accuracy over either component alone,filter tuning per cell,441
10.1016/j.energy.2020.118000,,"Deng, Z.; Hu, X.; Lin, X.; Che, Y.; Xu, L.; Guo, W.",Energy,2020,205,,,State estimation (SOC),Shallow ML,mixed,self-lab,cross-cell holdout,Gaussian process regression delivers pack-level SOC estimation with uncertainty quantification,pack cell-to-cell variance,395
10.1038/s42256-020-0156-7,,"Ng, M. F.; Zhao, J.; Yan, Q.; Conduit, G. J.; Seh, Z. W.",Nature Machine Intelligence,2020,2,3,,State estimation (SOC),Review / perspective,various,review,review synthesis,perspective on data-driven prediction of SOC and SOH outlining opportunities and obstacles for onboard ML,"perspective, not new experiments",719
10.1016/j.energy.2021.121236,,"Ren, X.; Liu, S.; Yu, X.; Dong, X.",Energy,2021,234,,,State estimation (SOC),Meta-heuristic-optimized DL,NMC,self-lab,experimental hardware,PSO-tuned LSTM improves SOC estimation accuracy and robustness to current noise,meta-heuristic tuning offline only,350
10.1109/access.2021.3068776,,"Naguib, M.; Kollmeyer, P.; Emadi, A.",IEEE Access,2021,9,,,State estimation (SOC),Filter-based hybrid,LFP,self-lab,experimental hardware,robust pack-level SOC estimation addresses cell inconsistency jointly with balancing decisions,pack size limited,210
10.1016/j.jpowsour.2020.229108,,"Ragone, M.; Yurkiv, V.; Ramasubramanian, A.; Kashir, B.; Mashayek, F.",Journal of Power Sources,2021,483,,,State estimation (SOC),Shallow ML,NMC,simulation,simulation plus hardware spot-check,automotive-simulation-informed training data enable realistic SOC estimators without exhaustive tests,sim-to-real gap remains,159
10.3390/wevj12010038,,"Chandran, V.; Patil, C. K.; Karthick, A.; Ganeshaperumal, D.; Rahim, R.; Ghosh, A.",World Electric Vehicle Journal,2021,12,1,,State estimation (SOC),Shallow ML,NMC,self-lab,experimental hardware,compares ML regression families for EV SOC estimation under automotive profiles,single-cell scope,302
10.1016/j.ensm.2022.06.053,,"Tian, J.; Xiong, R.; Shen, W.; Lu, J.; Sun, F.",Energy Storage Materials,2022,51,,,State estimation (SOC),Deep learning,NMC,self-lab,cross-cell holdout,partial charging data support flexible joint SOH and SOC estimation in one framework,partial-data feature sensitivity,235
10.1016/j.est.2022.104664,,"Liu, Y.; He, Y.; Bian, H.; Guo, W.; Zhang, X.",Journal of Energy Storage,2022,52,,,State estimation (SOC),Review / perspective,various,review,review synthesis,reviews deep-learning SOC estimation and charters directions including interpretability and generalization,benchmarking heterogeneity noted,184
10.1016/j.energy.2023.128461,,"Buchicchio, E.; De Angelis, A.; Santoni, F.; Carbone, P.; Bianconi, F.; Smeraldi, F.",Energy,2023,283,,,State estimation (SOC),Hybrid physics+ML,NMC,EIS-lab,cross-cell holdout,ML on EIS features with ECM structure estimates SOC across temperatures,EIS not standard onboard,178
10.1016/j.apenergy.2024.123508,,"Wang, J.; Zuo, Z.; Wei, Y.; Jia, Y.; Chen, B.; Li, Y.; et al.",Applied Energy,2024,368,,,State estimation (SOC),Filter-based hybrid,NMC,self-lab,experimental hardware,GA-optimized LSTM with improved adaptive Kalman filtering reaches low SOC error under noise,two-layer hybrid tuning effort,43
10.1016/j.heliyon.2024.e35183,,"Khan, M. K.; Houran, M. A.; Kauhaniemi, K.; Zafar, M. H.; Mansoor, M.; Rashid, S.",Heliyon,2024,10,15,,State estimation (SOC),Meta-heuristic-optimized DL,NMC,self-lab,experimental hardware,evolutionary-optimized GLA-CNN-BiLSTM cuts SOC error on drive cycles,computationally heavy training,46
10.1016/j.est.2024.111877,,"Khan, U.; Kirmani, S.; Rafat, Y.; Rehman, M. U.; Alam, M. S.",Journal of Energy Storage,2024,91,,,State estimation (SOC),Deep learning,LFP,self-lab,experimental hardware,improved deep architecture lowers SOC error for electrified powertrains,architecture-specific gains,30
10.1016/j.est.2024.114281,,"Arandhakar, S.; Nakka, J.",Journal of Energy Storage,2024,103,,,State estimation (SOC),Shallow ML,NMC,self-lab,experimental hardware,cutting-edge ML regressors benchmarked for EV SOC estimation accuracy-compute trade-offs,embedded deployment untested,22
